# x1,y1,z1,x2,y2,z2
34,175
12,74
320,414
211,175
343,592
29,597
659,29
357,52
414,130
228,65
121,300
347,257
536,301
473,17
23,17
466,343
88,438
34,62
670,491
389,74
130,58
62,170
673,627
674,592
675,261
343,626
676,184
676,328
389,221
412,465
403,347
677,176
347,171
381,176
466,115
313,465
679,278
569,175
473,329
393,566
681,329
220,340
629,426
465,505
87,48
67,347
666,328
686,481
255,349
17,329
58,686
670,204
688,662
689,547
689,681
690,185
692,637
275,689
390,688
693,18
694,679
150,503
633,566
21,694
597,270
241,46
600,663
46,696
677,381
661,503
386,673
697,675
582,592
699,71
414,686
69,670
70,13
704,611
704,402
438,301
388,389
408,297
112,676
483,211
548,414
160,704
545,579
708,257
709,312
699,65
481,320
347,708
239,544
714,686
714,320
552,121
578,84
715,151
716,168
717,493
717,565
502,692
718,417
718,666
523,689
498,349
626,592
721,597
721,80
722,108
686,320
481,714
278,21
176,62
155,670
511,87
644,580
276,644
658,545
407,629
507,468
301,276
297,252
674,343
725,239
220,537
663,177
726,465
726,497
428,340
659,389
473,607
179,725
180,288
727,303
35,22
410,297
135,505
79,725
729,399
195,160
88,24
636,699
141,159
426,662
731,491
731,594
438,362
597,80
629,230
125,195
419,724
733,414
733,190
734,271
734,668
468,362
78,221
736,62
736,677
211,569
668,271
396,556
737,177
737,43
658,655
594,491
52,573
738,706
237,508
548,733
60,135
658,403
524,340
410,472
441,32
740,311
740,726
129,55
670,731
34,736
89,698
677,62
545,257
189,122
290,577
599,740
367,68
349,499
202,220
180,133
141,684
444,556
69,731
611,505
337,737
432,65
34,94
661,630
742,734
742,364
743,629
743,182
654,538
388,74
71,515
489,424
543,727
659,721
647,477
745,567
745,375
746,98
523,681
747,50
429,738
660,281
99,615
489,562
501,67
150,447
219,338
335,716
303,159
748,259
748,379
201,273
94,128
117,51
396,286
1,694
210,521
243,689
581,477
564,745
647,201
315,748
749,666
749,417
266,581
732,196
583,202
562,128
166,26
526,171
286,709
751,594
751,35
415,409
170,736
273,717
740,497
752,485
752,474
174,676
525,639
275,243
400,380
753,484
753,747
234,359
415,300
339,315
36,120
754,155
754,606
755,639
146,583
453,692
327,595
112,358
506,453
503,376
595,180
80,29
20,84
262,209
513,24
648,177
507,589
736,450
452,754
90,20
445,362
508,288
567,630
315,730
273,522
756,460
144,137
748,364
60,222
179,385
757,243
36,734
409,552
562,381
758,87
758,715
48,758
51,359
663,709
339,240
760,620
760,756
428,526
