# x1,y1,z1,x2,y2,z2
2.405573845885294659e+01,-1.162528330111808650e+01,3.066267237351987873e+01,2.730586864238611611e+01,-1.590717271551849521e+01,2.621067867385173855e+01
-8.127221870749881560e+00,7.135907566114273948e+01,5.104816539053878444e+01,-1.847600162553182157e+00,7.560765478367359549e+01,5.018921503463423761e+01
2.758707988696578894e+01,-2.270116961764821895e+01,3.191733539268519948e+01,2.405573845885294659e+01,-1.162528330111808650e+01,3.066267237351987873e+01
5.968464762853348304e+01,4.923356942081034049e+01,1.066995380727867371e+01,5.883787290879856613e+01,4.850303453158947065e+01,8.281399578658213301e+00
5.968464762853348304e+01,4.923356942081034049e+01,1.066995380727867371e+01,6.042630984269857919e+01,3.871165964368237411e+01,1.427627129123803584e+01
5.576988020358309228e+01,3.670818170322467466e+01,8.188664030847702335e+00,5.883787290879856613e+01,4.850303453158947065e+01,8.281399578658213301e+00
-6.988426738444528041e+01,1.282778815651113113e+01,-2.973525909994313210e+01,-6.986102432486907787e+01,1.374184569064334305e+01,-3.086361333081460856e+01
-6.988426738444528041e+01,1.282778815651113113e+01,-2.973525909994313210e+01,-7.073825936518232993e+01,3.786411365188858458e+00,-3.148263449430606542e+01
-1.339485514734130689e+01,6.349835695934821445e+01,-3.457221176747187030e+01,-1.458624706604440568e+01,6.159933797775855169e+01,-3.577740242533198511e+01
-6.826196078095972553e+01,2.010465898084040859e+01,-2.888718531488699526e+01,-6.988426738444528041e+01,1.282778815651113113e+01,-2.973525909994313210e+01
2.504222379862831005e+01,-3.493287258529508676e+01,-2.834921887013786090e+01,2.687309344014877510e+01,-4.806594432062789224e+01,-4.096395804355632464e+01
3.210294631528051212e+01,2.021220618597359220e+01,-1.372059915320258838e+01,3.542866582126286090e+01,2.210205201510092010e+01,-2.153434903157348401e+01
-4.826089958508465116e+01,3.437363287461390371e+01,3.591941446770564994e+01,-4.942215393072427787e+01,3.323686838530976217e+01,3.380095727729120370e+01
-4.826089958508465116e+01,3.437363287461390371e+01,3.591941446770564994e+01,-4.567398652359908340e+01,3.258722169529733037e+01,4.024666489199762509e+01
5.298315164120243992e+01,6.037904020597375876e+01,3.105877062480285034e+01,5.247833857672019775e+01,6.425411931387351672e+01,2.112561235981564778e+01
-1.255465690698034820e+00,7.665355126956393406e+01,4.978781867268528316e+01,4.090599461335520992e+00,8.016551013908582490e+01,4.873935402476818268e+01
-7.934932648403973054e+00,1.100753319876411140e+01,6.845308860380951899e+01,-5.041007880271884289e+00,9.071395858225084652e+00,6.776456201554567826e+01
-3.186091391527324745e+01,-3.371129322055303135e+01,-3.969678156865899865e+01,-3.445893138138763589e+01,-3.257556702058231934e+01,-4.024770524823130557e+01
3.513521465909664698e+01,-8.394618240538231646e+01,-1.146944186247504405e+01,2.831732976296645532e+01,-8.315489487661190537e+01,-1.192260514526473614e+01
