# x1,y1,z1,x2,y2,z2
6.177304166260287843e+01,2.668943580784632630e+01,2.159724057739871483e+01,5.894545473293002402e+01,2.757260274210756634e+01,7.999109431372335877e+00
4.883111207088166594e+01,3.989045368390205937e+01,-1.741629805466149605e+01,5.343786174821477175e+01,3.301690150774930288e+01,-1.980995723571045986e+01
-4.215035739419702310e+01,5.608454074632415853e+01,-4.487613298630040504e+01,-3.355808868978266446e+01,6.336005261580366010e+01,-3.562038955582091404e+01
6.309595080937471323e+01,2.098593773557551145e+01,1.294799099039678225e+01,5.894545473293002402e+01,2.757260274210756634e+01,7.999109431372335877e+00
2.010907077285058975e+01,6.837289202557282408e+01,-4.128903193165071883e+01,5.614981999826969883e+00,7.172827069888006690e+01,-4.314989207847052199e+01
6.184353411791715160e+01,9.624136247786504228e+00,-4.707333567121096962e+00,6.400146660756499273e+01,1.192405967586804749e+01,-1.644300279405361564e+01
6.154328863355111423e+01,2.050885030965859457e+01,-4.646210316075811697e+00,6.184353411791715160e+01,9.624136247786504228e+00,-4.707333567121096962e+00
8.853680905164210913e+00,7.405631927671106496e+01,9.017827300283691727e+01,2.181379766853611901e+00,6.700097105302334910e+01,8.189978329490845965e+01
-3.355808868978266446e+01,6.336005261580366010e+01,-3.562038955582091404e+01,-2.535500226539206636e+01,6.458010931371819652e+01,-4.455252553259357029e+01
7.316614696955775798e+01,-2.326990888720081330e+01,1.940039526320067509e+01,6.745674888369475752e+01,-2.622254895931268592e+01,1.430959865333886860e+01
1.332468350457827277e+01,7.428060252164756605e+01,8.439406730283207025e+01,2.270476383787848107e+01,7.747099277784818128e+01,8.266179144882859475e+01
2.892948379475068066e+01,7.198686477789040339e+01,-1.204284886535845311e+00,3.282757523912268027e+01,6.661800365265445123e+01,-2.988804368204392325e+00
-6.704889554419568753e+01,2.014533466159424790e+01,-2.781451269343352095e+01,-6.978767082089277096e+01,1.408171666650028797e+01,-2.716020121625379602e+01
6.079700151321971902e+01,1.387865159925624603e+01,-3.309512244128590197e+01,6.318613634130611700e+01,3.387626760134210713e+00,-3.706684078299825558e+01
6.868881509812936770e+01,-5.155283188463959831e+00,-3.436866310874856367e+01,6.318613634130611700e+01,3.387626760134210713e+00,-3.706684078299825558e+01
2.275409143835215531e+01,6.675800138962603114e+01,-5.091513778060542705e+01,2.010907077285058975e+01,6.837289202557282408e+01,-4.128903193165071883e+01
-7.098829556085922832e+01,7.954196723928129487e+00,-1.825390896708453781e+01,-6.710280988200771901e+01,1.612908583234949234e+01,-9.175664845412887516e+00
6.177304166260287843e+01,2.668943580784632630e+01,2.159724057739871483e+01,6.116902274682337293e+01,3.611427378921643339e+01,2.598101337100230168e+01
3.835057802840088215e+01,6.082162971000018103e+01,-4.525364846224118764e+01,4.526669428644431292e+01,5.262317921162188838e+01,-4.428807900499982253e+01
5.678355351642965587e+01,3.322361182992030137e+01,-7.157562366157986133e+00,5.343786174821477175e+01,3.301690150774930288e+01,-1.980995723571045986e+01
-2.535500226539206636e+01,6.458010931371819652e+01,-4.455252553259357029e+01,-3.166796078866716613e+01,5.551566706033217713e+01,-5.016461952809014235e+01
6.116902274682337293e+01,3.611427378921643339e+01,2.598101337100230168e+01,5.876891652461407034e+01,4.456469590074598131e+01,2.039849638100145768e+01
7.713275861623425556e+01,-1.886841057582550718e+01,6.422395572184256274e+00,7.701816037449731311e+01,-1.894515991913173281e+01,4.254616890231140758e+00
7.508360906558993797e+00,7.163316258149576754e+01,-4.648995145063814505e+01,5.614981999826969883e+00,7.172827069888006690e+01,-4.314989207847052199e+01
7.267321215977716520e+01,-1.919309748956449369e+01,-5.773007045677524474e+01,6.909601402498957157e+01,-1.208209193743929255e+01,-5.370195869592607352e+01
2.010907077285058975e+01,6.837289202557282408e+01,-4.128903193165071883e+01,1.595153848175455380e+01,7.062922153180367957e+01,-3.516184889432854987e+01
7.662162966659298036e+01,-1.073581567192460362e+01,-1.550200811630037556e+01,7.584479153192893364e+01,-1.508283534289369321e+01,-1.781713961998239171e+01
7.662162966659298036e+01,-1.073581567192460362e+01,-1.550200811630037556e+01,7.862662775734416698e+01,-1.250626299978707578e+01,-8.966289455705643618e+00
5.678355351642965587e+01,3.322361182992030137e+01,-7.157562366157986133e+00,5.381465279801989965e+01,4.366397338418072138e+01,-3.548722555914877397e+00
-7.316391940215887679e+00,7.435470863691637078e+01,2.467622070901620290e+01,-7.658203830331324902e+00,7.556886100495275116e+01,1.509619994744506322e+01
2.593952279549064599e+01,7.467917917991454146e+01,5.412862672886912030e+00,2.892948379475068066e+01,7.198686477789040339e+01,-1.204284886535845311e+00
6.189583314892109200e+01,3.556820708811704179e+01,2.787260360776354773e+01,6.085848209445769186e+01,4.427063432259627263e+01,3.237509206013034202e+01
2.892948379475068066e+01,7.198686477789040339e+01,-1.204284886535845311e+00,1.542047429594586028e+01,7.420860191122152116e+01,-1.215754851775180967e+01
6.328316599102327444e+01,4.009882347378297140e+01,3.913280367759448808e+01,6.085848209445769186e+01,4.427063432259627263e+01,3.237509206013034202e+01
2.275409143835215531e+01,6.675800138962603114e+01,-5.091513778060542705e+01,3.733607420273006738e+01,6.030078549740007787e+01,-4.762919361336714275e+01
-7.717004007884320504e-01,7.663061158783544613e+01,2.583513984769534488e+01,-7.658203830331324902e+00,7.556886100495275116e+01,1.509619994744506322e+01
-7.218403587013943934e+01,-2.118129249550416660e+01,-5.377776549150731711e+01,-7.612292360755712650e+01,-2.307523088414824031e+01,-5.364345725627645578e+01
6.082172319975111208e+01,2.442637765711309683e+01,2.054950636792974183e+00,5.894545473293002402e+01,2.757260274210756634e+01,7.999109431372335877e+00
6.079700151321971902e+01,1.387865159925624603e+01,-3.309512244128590197e+01,6.165284461371016533e+01,9.172342538149568014e+00,-4.594919802025692235e+01
-5.672440851746624446e+01,3.792013667222055773e+01,-3.512041750349396807e+01,-5.037008762623766955e+01,4.509300831122676101e+01,-2.617713254551557611e+01
6.143292318332921553e+01,9.282967988403788340e+00,-5.050228939061360478e+01,6.165284461371016533e+01,9.172342538149568014e+00,-4.594919802025692235e+01
-1.395715356024349063e+01,6.952649214466534033e+01,-4.184741445272904059e+01,-7.158321170032904135e+00,7.154153363433435686e+01,-3.613328575976038337e+01
-7.762794942212438798e+01,-5.447916322037247028e+01,-4.721898787375238982e+01,-7.902792353114806190e+01,-4.388846335788523589e+01,-4.038345003318277548e+01
-7.658203830331324902e+00,7.556886100495275116e+01,1.509619994744506322e+01,-1.503138285041625943e+00,7.697118043900827900e+01,1.164107123670819277e+01
-6.080810695020589662e+01,-7.733231515314344051e+01,-4.145881884905187320e+01,-5.362578656889424877e+01,-7.612914456309370337e+01,-3.722277660428166968e+01
2.404306656197602976e+01,6.973304519881280328e+01,-1.697087718508741716e+01,2.892948379475068066e+01,7.198686477789040339e+01,-1.204284886535845311e+00
7.983752132460992357e+01,-6.993330999464326680e+00,7.456677367330584616e+00,7.862662775734416698e+01,-1.250626299978707578e+01,-8.966289455705643618e+00
-4.108716157223585697e+01,5.817479829068771124e+01,-4.581577122760133847e+01,-4.831596479409370914e+01,5.155480147905582555e+01,-4.943555661168731774e+01
-6.362663688268907158e+00,6.586102646304334485e+01,-7.165381771928996102e+01,-3.630500596034166971e+00,6.899879230929040830e+01,-6.192222641337785660e+01
6.318613634130611700e+01,3.387626760134210713e+00,-3.706684078299825558e+01,6.165284461371016533e+01,9.172342538149568014e+00,-4.594919802025692235e+01
-3.166796078866716613e+01,5.551566706033217713e+01,-5.016461952809014235e+01,-4.108716157223585697e+01,5.817479829068771124e+01,-4.581577122760133847e+01
3.835057802840088215e+01,6.082162971000018103e+01,-4.525364846224118764e+01,2.611519857230949526e+01,6.515944342177726867e+01,-4.411655815716554230e+01
-7.831515517541137683e+01,-4.440620852000241570e+01,-3.197189381252449536e+01,-7.863643281118066852e+01,-4.196133806652923681e+01,-3.278556856280935961e+01
5.845869110536825985e+01,1.512336018629273759e+01,-6.118486217734653820e+01,5.878973193923216911e+01,1.192282457478222568e+01,-6.276684193250567745e+01
